conceptSetId,conceptId,isExcluded,includeDescendants,includeMapped
1,985708,0,1,0
2,1703069,0,1,0
3,19093225,0,1,0
4,1594973,0,1,0
5,1503297,0,1,0
6,795113,0,1,0
7,1338512,0,1,0
8,1710281,0,1,0
9,1521369,0,1,0
10,745790,0,1,0
11,19086100,0,1,0
12,735979,0,1,0
13,1549786,0,1,0
14,950637,0,1,0
15,1103006,0,1,0
16,907879,0,1,0
17,44785086,0,1,0
18,19055183,0,1,0
19,19037833,0,1,0
20,1713905,0,1,0
21,19024728,0,1,0
22,19026459,0,1,0
23,19054825,0,1,0
24,1756831,0,1,0
25,1714319,0,1,0
26,1794280,0,1,0
27,40161532,0,1,0
28,19047423,0,1,0
29,1103314,0,1,0
30,42874220,0,1,0
31,1336825,0,1,0
32,715939,0,1,0
33,703244,0,1,0
34,991876,0,1,0
35,19049038,0,1,0
36,40239056,0,1,0
37,1548195,0,1,0
38,1703653,0,1,0
39,1350310,0,1,0
40,941472,0,1,0
41,735843,0,1,0
42,797617,0,1,0
43,19071314,0,1,0
44,1758536,0,1,0
45,757627,0,1,0
46,1338985,0,1,0
47,911735,0,1,0
48,1304643,0,1,0
49,1125315,0,1,0
50,1154029,0,1,0
51,44818461,0,1,0
52,918906,0,1,0
53,1742253,0,1,0
54,739323,0,1,0
55,40239330,0,1,0
56,1103552,0,1,0
57,907553,0,1,0
58,997881,0,1,0
59,19041065,0,1,0
60,937368,0,1,0
61,40238930,0,1,0
62,923081,0,1,0
63,40241331,0,1,0
64,1790692,0,1,0
65,766529,0,1,0
66,43526465,0,1,0
67,1389464,0,1,0
68,903643,0,1,0
69,44507848,0,1,0
70,19059528,0,1,0
71,19039227,0,1,0
72,19016749,0,1,0
73,742267,0,1,0
74,1126658,0,1,0
75,1192710,0,1,0
76,19097481,0,1,0
77,705944,0,1,0
78,19050488,0,1,0
79,940864,0,1,0
80,1107830,0,1,0
