cohortId,name,drugCodesetId,gapDays,offset
1,"30d Gap, 0 offset",1,30,0
2,"30d Gap, 0 offset",2,30,0
3,"30d Gap, 0 offset",3,30,0
4,"30d Gap, 0 offset",4,30,0
5,"30d Gap, 0 offset",5,30,0
6,"30d Gap, 0 offset",6,30,0
7,"30d Gap, 0 offset",7,30,0
8,"30d Gap, 0 offset",8,30,0
9,"30d Gap, 0 offset",9,30,0
10,"30d Gap, 0 offset",10,30,0
11,"30d Gap, 0 offset",11,30,0
12,"30d Gap, 0 offset",12,30,0
13,"30d Gap, 0 offset",13,30,0
14,"30d Gap, 0 offset",14,30,0
15,"30d Gap, 0 offset",15,30,0
16,"30d Gap, 0 offset",16,30,0
17,"30d Gap, 0 offset",17,30,0
18,"30d Gap, 0 offset",18,30,0
19,"30d Gap, 0 offset",19,30,0
20,"30d Gap, 0 offset",20,30,0
21,"30d Gap, 0 offset",21,30,0
22,"30d Gap, 0 offset",22,30,0
23,"30d Gap, 0 offset",23,30,0
24,"30d Gap, 0 offset",24,30,0
25,"30d Gap, 0 offset",25,30,0
26,"30d Gap, 0 offset",26,30,0
27,"30d Gap, 0 offset",27,30,0
28,"30d Gap, 0 offset",28,30,0
29,"30d Gap, 0 offset",29,30,0
30,"30d Gap, 0 offset",30,30,0
31,"30d Gap, 0 offset",31,30,0
32,"30d Gap, 0 offset",32,30,0
33,"30d Gap, 0 offset",33,30,0
34,"30d Gap, 0 offset",34,30,0
35,"30d Gap, 0 offset",35,30,0
36,"30d Gap, 0 offset",36,30,0
37,"30d Gap, 0 offset",37,30,0
38,"30d Gap, 0 offset",38,30,0
39,"30d Gap, 0 offset",39,30,0
40,"30d Gap, 0 offset",40,30,0
41,"30d Gap, 0 offset",41,30,0
42,"30d Gap, 0 offset",42,30,0
43,"30d Gap, 0 offset",43,30,0
44,"30d Gap, 0 offset",44,30,0
45,"30d Gap, 0 offset",45,30,0
46,"30d Gap, 0 offset",46,30,0
47,"30d Gap, 0 offset",47,30,0
48,"30d Gap, 0 offset",48,30,0
49,"30d Gap, 0 offset",49,30,0
50,"30d Gap, 0 offset",50,30,0
51,"30d Gap, 0 offset",51,30,0
52,"30d Gap, 0 offset",52,30,0
53,"30d Gap, 0 offset",53,30,0
54,"30d Gap, 0 offset",54,30,0
55,"30d Gap, 0 offset",55,30,0
56,"30d Gap, 0 offset",56,30,0
57,"30d Gap, 0 offset",57,30,0
58,"30d Gap, 0 offset",58,30,0
59,"30d Gap, 0 offset",59,30,0
60,"30d Gap, 0 offset",60,30,0
61,"30d Gap, 0 offset",61,30,0
62,"30d Gap, 0 offset",62,30,0
63,"30d Gap, 0 offset",63,30,0
64,"30d Gap, 0 offset",64,30,0
65,"30d Gap, 0 offset",65,30,0
66,"30d Gap, 0 offset",66,30,0
67,"30d Gap, 0 offset",67,30,0
68,"30d Gap, 0 offset",68,30,0
69,"30d Gap, 0 offset",69,30,0
70,"30d Gap, 0 offset",70,30,0
71,"30d Gap, 0 offset",71,30,0
72,"30d Gap, 0 offset",72,30,0
73,"30d Gap, 0 offset",73,30,0
74,"30d Gap, 0 offset",74,30,0
75,"30d Gap, 0 offset",75,30,0
76,"30d Gap, 0 offset",76,30,0
77,"30d Gap, 0 offset",77,30,0
78,"30d Gap, 0 offset",78,30,0
79,"30d Gap, 0 offset",79,30,0
80,"30d Gap, 0 offset",80,30,0
